Controller,Action
accounts/attendees,create
accounts/attendees,update
accounts/orders,reorder
accounts/profiles,update
accounts/subscriptions,destroy
accounts/subscriptions,threeds_callback
accounts/subscriptions,update
accounts,create
accounts,register
accounts,show
accounts,missing_details
additional_payments,ach
additional_payments,process_payment
additional_payments,show
helpers/availabilities,index
helpers/custom_form_answers,show
helpers/custom_form_answers,update
helpers/delivery_options,index
auth/as_customer_sessions,create
auth/as_customer_sessions,metadata
auth/as_customer_sessions,new
auth/confirmations,create
auth/confirmations,new
auth/confirmations,pending
auth/confirmations,show
auth/experience_cloud_sessions,create
auth/experience_cloud_sessions,metadata
auth/experience_cloud_sessions,new
auth/invitations,create
auth/invitations,destroy
auth/invitations,edit
auth/invitations,new
auth/invitations,pending
auth/invitations,update
omniauth,azure
omniauth,entra_id
omniauth,google
omniauth,keycloak_openid
omniauth,passthru
omniauth,singlekey_id
auth/passwords,create
auth/passwords,edit
auth/passwords,new
auth/passwords,update
auth/sessions,create
auth/sessions,destroy
auth/sessions,new
carts,remote_add
carts,customer_metadata
carts,destroy
carts,show
carts,update
carts,add
checkout/steps/terms,create
checkout/steps/terms,edit
checkout/steps/terms,show
checkout/steps/terms,update
checkout/accounts,create
checkout/aux/credits,create
checkout/aux/credits,destroy
checkout/aux/vouchers,create
checkout/aux/vouchers,destroy
checkout/steps/customer,create
checkout/steps/customer,edit
checkout/steps/customer,show
checkout/steps/customer,update
checkout/orders,order
checkout/payment_callback,create
checkout/steps/payment,create
checkout/steps/payment,edit
checkout/steps/payment,finalize_order
checkout/steps/payment,show
checkout/steps/payment,update
checkout/payments,ach
checkout/payments,create
checkout/payments,intents
checkout/payments,update
checkout/promotion,update
checkout/steps/shipping,create
checkout/steps/shipping,edit
checkout/steps/shipping,show
checkout/steps/shipping,update
articles,index
articles,show
pages,home
pages,not_found
pages,show
bundles,add_preset_to_cart
bundles,add_to_cart
bundles,create
bundles,edit
bundles/options,create
bundles/options,update
express_checkout/carts,create
express_checkout/carts,update
express_checkout/shipping_methods,update
form_submission,create
geolocations,create
geolocations,destroy
line_items,destroy
locations,index
locations,show
merchant_feeds,facebook
merchant_feeds,google
merchant_feeds,show
orders,show
payment_provider_verifications,applepay
preview,article
preview,page
preview,product
privacy,disable_all
privacy,enable_all
privacy,set
product_comparisons,show
products,index
products,show
robots,show
salesforce_payments,checkout_callback
salesforce_payments,process_payment
salesforce_payments,show
salesforce_payments,wrapper
search/articles,index
search/pages,index
search/products,index
search,show
sitemap,show
product_categories,index
product_categories,show
vouchers,show
